"id","precio_soles","precio_dolares","mantenimiento","direccion","ubicacion","area_total","dormitorios","banos","estacionamientos","descripcion","url","site"
11055,1051520,310000,492,no informado,"San Isidro, Lima",148,3,3,2,"Lindo departamento de 3 Dormitorios con closets, 148m2 área, con sala, comedor, terraza, 3. 5 baños, cocina, lavanderia, cuarto y baño 2 cocheras en línea, el edificio cuenta con áreas comunes, piscina, gimnasio, zona de parrilla y sala de reuniones, el edificio esta al lado del parque Dammert, se vende en us$310, 000. 00 llamar al Ver datos",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-145548335?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=16,urbania
11056,1675000,500000,0,no informado,"San Isidro, Lima",240,3,2,1,"Excelente departamento ubicado en exclusiva zona de San isidro con linda vista al Golf. Se encuentra en el piso 2, 2 departamentos por piso; amplios espacios, sala comedor de gran tamaño, 3 amplios dormitorios; el principal con waking closet y baño incorporado, los otros 2 comparten baño, baño de visitas, cocina y área de servicio completa. Vigilancia 24 horas1 cocheraÁreas comunes: jardines, piscina y cancha de tennis.",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-148975577?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=17,urbania
11057,3740800,1120000,2800,no informado,"Malecon Marina, Miraflores",515,3,4,2,"[venta exclusiva] Penthouse de 515 m² con Vista directa al Mar – Miraflores. Ubicación y Prestigio: Situado en la exclusiva y tranquila Calle Federico Villarreal, este penthouse ofrece una codiciada Vista Panorámica y Directa al Mar. En un edificio moderno y seguro, la máxima calidad de vida en Miraflores. Distribución de Alto Nivel (515 m²): Diseñado para la privacidad y el máximo confort, con un Ascensor Directo al Departamento. Zona Social: Amplia Sala y Comedor, ambos diseñados para disfrutar de la impresionante vista al Pacífico. Incluye Baño de Visitas y Sala de Estar separada. Dormitorios (3): Master Suite: Dormitorio principal con baño privado, espacioso Walk-in Closet y espacio definido para Estudio. Secundarios: Dos (2) amplios dormitorios adicionales, cada uno con su baño incorporado. Servicios: Cocina espaciosa, Cuarto y Baño de Servicio completos, y amplias Cocheras. La Terraza: Su Oasis Personal: La joya de la corona es la Amplia Terraza Privada, con la espectacular vista al mar. Espacio ideal para construir su propia Piscina y una completa Zona de Parrilla/bbq. La propiedad esta en casco sin acabados, Más que un departamento, es un lienzo de 515 m² para crear su residencia soñada frente al mar. Contáctenos para coordinar una visita y conocer esta inigualable propiedad. Gestiona: exploria grupo inmobiliario.. . Cod: 0512",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-malecon-marina-miraflores-3-dormitorios-142990768?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=1&n_pos=18,urbania
11058,790000,229000,50,no informado,"Miraflores, Lima",136,2,2,0,"Dpto. En espléndida zona de Miraflores. Frente al parque Enrique Dunnant. A unos pasos del malecón. Cerca al Skatepark Miraflores, restaurante Costanera 700 y parque Grau. Con rápido acceso a las avenidas Del Ejército, Malecón de la Marina, General Mendíburu, Mariscal La Mar, José Pardo y Santa Cruz. Totalmente Amoblado y EquipadoExcelente como Inversión, Ideal para AirbnbCon linda vista del SunsetEn piso 5 (sin ascensor) Vista exteriorÁrea: 136 m2Antigüedad: 22 añosdistribución- Sala-comedor- Cocina (abierta) - Terraza con vista al mar- 2 dormitorios- 2 baños completos- Lavandería- Cuarto y baño de servicio (puede ser usado como un 3er dormitorio) *Los dormitorios tienen espacio para cama king*Uno de los dorm. Tiene baño incorporado*no tiene cocheraVenta: usd 229, 000 (negociable). Nota: El precio en soles es referencial. Mantenimiento: 50 solesimportante: para agendar visitas es necesario adjuntar nombres Y apellidos completos + número de dni.",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-miraflores-lima-2-dormitorios-149227956?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=19,urbania
11059,1004000,299000,650,no informado,"Santiago de Surco, Lima",216,3,2,3,"Vivir en Chacarilla es un lujo, y este departamento es una joya muy especial. Está en uno de los distritos más seguros y familiares de Lima, en una zona muy tranquila y con muchas áreas verdes. Al mismo tiempo, está en el centro de la ciudad: al estar cerca del cruce de las avenidas Caminos del Inca y Velazco Astete, tiene un acceso privilegiado a dos avenidas principales y la facilidad de conectarse rápido con los mejores distritos de Lima. La construcción es sólida y en un diseño clásico, con más de 30 años de construcción y en perfectas condiciones gracias al excelente mantenimiento que ha recibido a lo largo de los años. Esto garantiza que las habitaciones sean muy amplias y que los acabados sean de lo mejor de su época. El edificio tiene solo 4 pisos y un departamento por piso, garantizando una convivencia muy cómoda y segura. Todo el edificio está en perfectas condiciones y es ideal para personas que estén buscando un lugar amplio y con pocos vecinos. Este departamento fue el hogar de una familia numerosa que creció; los hijos ya son grandes y ha llegado el momento de que lo disfrute otra linda familia. El arquitecto acertó con la distribución: logró que cada espacio de la casa cuente con luz natural y buena ventilación. Las comodidades del departamento son únicas: gran cocina, walk-in closet en la habitación principal, jacuzzi y un cuarto adicional dentro de la misma habitación. Solo imagínate disfrutar del calor de la chimenea rodeado de la familia, el olor a madera en toda la casa y un buen tiempo con los que más quieres. Vivir cerca de buenos colegios, rodeado de lindas áreas verdes y estando en el centro de la ciudad, es una gran oportunidad. Escríbeme y agenda una cita para conocer tu nuevo hogar. Algunas características de distribución: - 3 dormitorios,. - 2 baños completos. Y uno de visitas - Amplia sala - comedor- Ascensor - Sala de tv (pisos de parqué) - Cocina con estanterías altas y bajas de madera muy bien conservada + barra americana. - Cuarto y baño de servicio- Zona de lavandería y tendal- 3 cocheras lineales y techadas (3 carros) - Amplio Depósito - Mantenimiento S/650 (incluye agua y limpieza áreas comunes)",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-santiago-de-surco-lima-3-dormitorios-148881847?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=20,urbania
11060,918000,255000,250,no informado,"La Castellana, Santiago de Surco",131,3,3,2,"¡venta de amplio departamento en surco! Ubicado en Calle Castilla La Vieja, este amplio y luminoso departamento te ofrece comodidad y tranquilidad en un edificio exclusivo de solo 5 pisos, con un departamento por piso para mayor privacidad. Características del Departamento: Amplia sala y comedor con excelente iluminación natural. 1/2 baño de visita. Dormitorio principal espacioso con closet de piso a techo y baño completo. 2 habitaciones secundarias que comparten un baño completo. Cocina amplia con comedor de diario. Lavandería independiente. Cuarto y baño de servicio. precio de departamento usd $255, 000 dolares americanos. precio de estacionamiento lineal usd $25, 000 dolares amercianos. precio de deposito usd $10, 000 dolares americanos. Ubicación privilegiada: Cerca de importantes avenidas como Av. Paseo de la Castellana y Av. Castilla, además de estar a pocos minutos del Óvalo Higuereta. ¡No pierdas la oportunidad de vivir en una de las mejores zonas de Surco! pj-Ver datos-mvcs",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-la-castellana-santiago-de-surco-3-dormitorios-149507469?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=1&n_pos=21,urbania
14741,694000,200000,0,no informado,"San Bartolo, Lima",170,3,2,1,"Contacto. erika herrick. 9 8 6 6 4 4 6 3 0. ocasión estreno. $200, 000 usd. san bartolo. 170 metros. 2 dormitorios. terraza. piscina. cocina, 2 baños. área de lavandería. Vista al mar. area comun piscina. seguridad 24 horas. No paga alcabala. Erika herrick. 9 8 6 6 4 4 6 3 0",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-bartolo-lima-3-dormitorios-4478458?n_src=Listado&n_pills=Piscina&n_pg=131&n_pos=6,urbania
11061,367100,108931,0,no informado,"Surquillo, Lima",46,2,2,0,"Descubre tu próximo hogar en Surquillo, una de las zonas más conectadas y dinámicas de Lima. Este moderno edificio se encuentra en una ubicación estratégica, muy cerca de la Av. Aviación y la Av. Angamos, lo que te brinda acceso rápido a importantes vías principales, transporte público, servicios, centros comerciales, universidades y zonas gastronómicas. El entorno destaca por su tranquilidad y cercanía a espacios verdes y parques, ideales para disfrutar de paseos al aire libre, actividad física o momentos de descanso en familia. La zona combinar la comodidad urbana con áreas verdes que hacen tu estilo de vida más equilibrado y agradable. Características del Departamento (46 m²) * 2 dormitorios: Espacios funcionales y bien iluminados, pensados para tu confort y el de tu familia. * Vista externa: Ventanas amplias que permiten la entrada de luz natural y una vista agradable al exterior, aportando ventilación y sensación de amplitud. * Área total de 46 m²: Distribución eficiente que aprovecha cada espacio para mayor comodidad. * Precio desde S/. 367, 100: Una excelente opción en relación calidad-precio para quienes buscan una vivienda bien ubicada sin sacrificar accesibilidad. adicionales * Cocheras desde S/. 45, 000 (disponible 5) * En preventa",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-surquillo-lima-2-dormitorios-148896040?n_src=Listado&n_pills=Seguridad&n_pg=1&n_pos=22,urbania
11062,867000,255000,0,no informado,"San Isidro, Lima",185,4,2,0,"Vive en una de las zonas más exclusivas y residenciales de San Isidro, en la Calle José del Llano Zapata. Esta tranquila y segura calle está rodeada de parques, embajadas, oficinas de primer nivel y cafés boutique. ¡Una ubicación privilegiada que combina vida residencial con fácil acceso a centros empresariales y comerciales! Departamento remodelado integralmente hace 1 año y en perfecto estado de conservación. Ideal para quienes buscan comodidad, estilo y una gran terraza privada. Características: -Área total: 185 m² + aires (terraza privada) - Antigüedad: 50 años (completamente remodelado y modernizado hace 1 año) - ubicado en el 4to piso sin ascensor. -No cuenta con cochera. Distribución funcional y versátil: -Sala-comedor con excelente iluminación natural. -Cocina cerrada totalmente equipada, con ingreso independiente y acceso a sala y patio. 4 dormitorios: -Dormitorio principal con baño incorporado. -Dormitorio secundario con closets. -Dormitorio con baño incorporado e ingreso independiente (ideal como oficina o espacio para renta tipo Airbnb) -Habitación muy amplia en el último nivel, ideal como sala de tv cerrada o estudio. -1 baño de visita. -Lavandería con therma Bosch. -Cuarto y baño de servicio. -Acceso al segundo nivel por escalera caracol. Espectacular terraza privada: -Área social amplia con zona de parrilla. -Baño completo para invitados. Puntos clave: - Remodelado totalmente hace 1 año. - Perfecto estado de conservación. -Entradas independientes que permiten uso mixto (vivienda + oficina + inversión) -Gran terraza para reuniones, descanso o expansión futura. ¡Agenda tu visita hoy mismo y conoce este exclusivo departamento en Miraflores! No dejes pasar esta oportunidad única de vivir o invertir en una de las mejores zonas de Lima.",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-4-dormitorios-146828843?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=1&n_pos=23,urbania
11063,0,0,1,no informado,"Magdalena, Lima",57,2,2,0,"Departamento en venta en Magdalena, ideal para quienes buscan comodidad y una excelente ubicación. Este inmueble de 57 m² ofrece un diseño funcional y acogedor. Cuenta con 2 dormitorios y 2 baños, perfectos para una familia pequeña o una pareja. La propiedad se ubica en el piso 7 de un edificio con 20 pisos y garantizando una comunidad establecida. El interior incluye acabados de lujo e intercomunicador. El edificio ofrece 2 ascensores para mayor comodidad. Entre las amenidades destacan el área de bbq, la piscina, la terraza y el salón de juegos infantiles, ideales para el entretenimiento y la convivencia. Se permite mascotas, lo que facilita la vida de los amantes de los animales. La ubicación es privilegiada, con escuelas y parques cercanos, lo que añade valor a la vida diaria. Además, cuenta con recepción y parrilla. Magdalena es una zona residencial que ofrece un ambiente tranquilo y seguro, con fácil acceso a servicios y comercios. Entrega Diciembre 2026. Juliana Montes 9 9 9 8 9 7 9 7. Evelin Acasuzo 9 9 6 6 1 1 7 1 1",https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-148186817?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=1&n_pos=24,urbania
